,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,23.0,0.24770000576972961,"treatment, change, outcome, therapy, cbt, intervention, depression, cognitive, group, symptom","['reduction', 'internalising_construct', 'follow', 'internet_delivered', 'treatment', 'anxiety', 'depression', 'primary_care', 'depressive', 'anxiety', 'disorder', 'different', 'manifestation', 'latent', 'date', 'efficacy', 'study', 'tend', 'focus', 'disorder', 'specific', 'outcome', 'rather', 'underlying', 'dimension', 'study', 'examine', 'effect', 'transdiagnostic', 'therapy', 'icbt', 'sample', 'participant', 'include', 'patient', 'prescribe', 'lesson', 'program', 'anxiety', 'patient', 'complete', 'patient', 'health', 'questionnaire', 'generalise', 'anxiety', 'disorder', 'item', 'panic', 'disorder', 'severity', 'scale', 'baseline', 'patient', 'complete', 'program', 'provide', 'data', 'scale', 'final', 'lesson', 'reduction', 'latent', 'internalising_construct', 'assess', 'longitudinal', 'factor', 'analysis', 'framework', 'compare', 'internalise', 'factor', 'mean', 'treatment', 'group', 'mean', 'reduction', 'latent', 'large', 'group', 'reduction', 'latent', 'could', 'investigate', 'study', 'demonstrate', 'clinically', 'significant', 'reduction', 'latent', 'internalising_construct', 'follow', 'transdiagnostic', 'anxiety', 'depression']"
1,1,23.0,0.4115999937057495,"treatment, change, outcome, therapy, cbt, intervention, depression, cognitive, group, symptom","['treatment', 'obsessive_compulsive', 'disorder', 'randomised_controlle', 'trial', 'internet', 'base', 'cognitive', 'behaviour', 'therapy', 'become', 'increase', 'accept', 'efficacious', 'effective', 'treatment', 'anxiety', 'depressive', 'disorder', 'however', 'study', 'examine', 'efficacy', 'obsessive_compulsive', 'disorder', 'ocd', 'randomised_controlle', 'trial', 'compare', 'administer', 'treatment', 'group', 'patient', 'ocd', 'primary', 'outcome', 'measure', 'dimensional', 'obsessive_compulsive', 'scale', 'doc', 'obsessional', 'belief', 'questionnaire', 'administered', 'pre', 'post', 'treatment', 'match', 'icbt', 'group', 'follow', 'month', 'post', 'treatment', 'diagnostic', 'status', 'assess', 'clinical', 'interview', 'icbt', 'program', 'efficacious', 'reduce', 'maladaptive', 'oc', 'belief', 'well', 'symptom', 'distress', 'depression', 'large', 'group', 'find', 'adherence', 'high', 'gain', 'maintain', 'month_follow', 'treatment', 'completer', 'longer', 'meet', 'diagnostic', 'criterion', 'ocd', 'follow', 'result', 'comparable', 'outcome', 'obtain', 'clinician', 'administer', 'face', 'face', 'internet', 'base', 'program', 'suggest', 'ocd', 'efficacious', 'administer', 'clinically', 'supervise', 'technician', 'future', 'need', 'evaluate', 'effective', 'icbt', 'routine', 'clinical', 'setting']"
2,2,29.0,0.628000020980835,"anxiety, disorder, patient, study, result, depression, use, high, associate, abstract","['work', 'relate', 'cbt', 'vocational', 'service', 'usual', 'unemployed', 'person', 'social', 'anxiety', 'disorder', 'randomized_controlle', 'pilot', 'trial', 'design', 'pilot', 'test', 'group', 'base', 'work', 'relate', 'cognitive', 'behavioral', 'therapy', 'wcbt', 'unemployed', 'individual', 'social', 'anxiety', 'disorder', 'sad', 'wcbt', 'deliver', 'vocational', 'service', 'set', 'vocational', 'service', 'professional', 'aim', 'reduce', 'social', 'anxiety', 'enable', 'individual', 'seek', 'retain', 'employment', 'compare', 'wcbt', 'vocational', 'service', 'usual', 'control', 'condition', 'participant', 'unemploye', 'homeless', 'largely', 'african_american', 'vocational', 'service', 'seek', 'adult', 'sad', 'randomized', 'receive', 'session', 'wcbt', 'alone', 'follow', 'month', 'post', 'treatment', 'multilevel', 'modeling', 'reveal', 'significantly', 'great', 'reduction', 'depression', 'impairment', 'wcbt', 'compare', 'coefficient', 'job', 'search', 'activity', 'self', 'efficacy', 'indicate', 'great', 'increase', 'wcbt', 'hour', 'work', 'week', 'follow', 'period', 'differ', 'group', 'small', 'sample', 'size', 'challenge', 'associate', 'measure', 'work', 'hour', 'may', 'contribute', 'find', 'overall', 'result', 'study', 'suggest', 'unemployed', 'person', 'sad', 'effectively', 'treat', 'specialized', 'work', 'relate', 'cbt', 'administer', 'vocational', 'service', 'professional', 'future', 'testing', 'wcbt', 'large', 'sample', 'long', 'follow', 'period', 'adequate', 'power', 'assess', 'employment', 'outcome', 'warrant']"
3,3,29.0,0.44269999861717224,"anxiety, disorder, patient, study, result, depression, use, high, associate, abstract","['therapist', 'effect', 'iapt', 'psychological', 'wellbeing', 'practitioner', 'pwps', 'multilevel', 'model', 'mixed', 'method', 'determine', 'extent', 'therapist', 'effect', 'psychological', 'wellbeing', 'practitioner', 'pwps', 'deliver', 'guide', 'self', 'help', 'service', 'identify', 'factor', 'define', 'effective', 'pwp', 'clinical', 'practice', 'use', 'patient', 'anxiety', 'depression', 'outcome', 'phq', 'service', 'site', 'examine', 'use', 'multi', 'level', 'model', 'pwps', 'clinical', 'supervisor', 'also', 'interview', 'complete', 'measure', 'ego', 'strength', 'intuition', 'resilience', 'therapist', 'effect', 'account', 'around', 'cent', 'variance', 'patient', 'pwp', 'significantly', 'well', 'average', 'outcome', 'phq', 'significantly', 'average', 'phq', 'average', 'computed', 'rank', 'identify', 'quartile', 'cluster', 'least', 'effective', 'pwps', 'effective', 'pwps', 'generate', 'high', 'rate', 'reliable', 'clinically', 'significant', 'change', 'display', 'great', 'resilience', 'organisational', 'ability', 'knowledge', 'confidence', 'study', 'weakness', 'identify', 'methodological', 'consideration', 'future', 'study', 'examine', 'therapist', 'effect', 'low', 'intensity', 'cognitive', 'behaviour', 'therapy', 'provide']"
4,4,8.0,0.48590001463890076,"disorder, symptom, anxiety, depression, depressive, age, year, risk, major, study","['repetitive', 'negative', 'thinking', 'transdiagnostic', 'factor', 'depression', 'anxiety', 'conceptual', 'replication', 'comorbidity', 'affective', 'disorder', 'high', 'rumination', 'find', 'mediate', 'prospective', 'relation', 'anxiety', 'depressive', 'symptom', 'adolescent', 'adult', 'examine', 'rumination', 'worry', 'form', 'repetitive', 'negative', 'thinking', 'also', 'explain', 'association', 'affective', 'disorder', 'study', 'use', 'prospective', 'cohort', 'study', 'mixed', 'sample', 'adult', 'person', 'prior', 'history', 'current', 'affective', 'disorder', 'healthy', 'individual', 'assess', 'affective', 'disorder', 'rumination', 'leid', 'worry', 'pswq', 'measure', 'repeat', 'year', 'year', 'later', 'use', 'model', 'find', 'baseline', 'rumination', 'worry', 'partly', 'mediate', 'fear', 'disorder', 'anxiety', 'disorder', 'distress', 'disorder', 'dysthymia', 'major', 'depressive', 'disorder', 'generalize', 'anxiety', 'disorder', 'moreover', 'baseline', 'fear', 'disorder', 'predict', 'change', 'distress', 'disorder', 'change', 'worry', 'rumination', 'mediate', 'distress', 'disorder', 'change', 'fear', 'disorder', 'mediate', 'change', 'rumination', 'change', 'worry', 'result', 'conclude', 'repetitive', 'negative', 'thinking', 'important', 'transdiagnostic', 'factor', 'rumination', 'worry', 'partly', 'responsible', 'prospective', 'co', 'occurrence', 'affective', 'disorder', 'may', 'suitable', 'target', 'treatment']"
5,5,29.0,0.6920999884605408,"anxiety, disorder, patient, study, result, depression, use, high, associate, abstract","['routine', 'clinical', 'practice', 'treatment', 'choice', 'patient', 'chronic_fatigue', 'however', 'factor', 'predict', 'recovery', 'unknown', 'objective', 'study', 'ascertain', 'recovery', 'rate', 'patient', 'receive', 'cbt', 'routine', 'practice', 'explore', 'possible', 'predictor', 'recovery', 'recovery', 'define', 'long', 'meeting', 'criterion', 'month', 'follow', 'composite', 'score', 'represent', 'full', 'recovery', 'additionally', 'include', 'perception', 'improvement', 'normal', 'population', 'level', 'fatigue', 'physical', 'function', 'use', 'examine', 'predictor', 'recovery', 'predictor', 'include', 'age', 'gender', 'cognitive_behavioural', 'response', 'symptom', 'work', 'social', 'adjustment', 'belief', 'emotion', 'perfectionism', 'anxiety', 'depression', 'baseline', 'month', 'follow', 'patient', 'longer', 'meet', 'criterion', 'fully', 'recover', 'multivariate', 'analysis', 'show', 'bad', 'score', 'work', 'social', 'adjustment', 'scale', 'unhelpful', 'belief', 'emotion', 'high', 'level', 'depression', 'old', 'age', 'associate', 'odd', 'recovery', 'routine', 'practice', 'comparable', 'previous', 'rct', 'wide', 'significant', 'predictor', 'recovery']"
6,6,29.0,0.3993000090122223,"anxiety, disorder, patient, study, result, depression, use, high, associate, abstract","['program', 'adjunctive', 'treatment', 'stress', 'disorder', 'may', 'effective', 'treatment', 'anxiety', 'disorder', 'individual', 'possess', 'threat', 'relevant', 'information', 'may', 'prove', 'effective', 'reduce', 'ptsd', 'symptom', 'examine', 'efficacy', 'adjunct', 'treatment', 'ptsd', 'real', 'world', 'set', 'administer', 'conjunction', 'prolong', 'exposure', 'cognitive', 'processing', 'therapy', 'treatment', 'facility', 'diagnose', 'participant', 'randomize', 'attention', 'participant', 'experience', 'reduction', 'symptom', 'experience', 'significantly', 'few', 'depressive', 'symptom', 'post', 'treatment', 'compare', 'moreover', 'change', 'plasticity', 'mediate', 'change', 'symptom', 'initial', 'moderated', 'effect', 'treatment', 'result', 'suggest', 'may', 'effective', 'adjunct', 'treatment', 'ptsd']"
7,7,29.0,0.45890000462532043,"anxiety, disorder, patient, study, result, depression, use, high, associate, abstract","['effectiveness', 'self', 'help', 'mindfulness', 'base', 'cognitive', 'therapy', 'student', 'sample', 'randomised_controlled', 'trial', 'mindfulness', 'base', 'cognitive', 'therapy', 'mbct', 'involve', 'approximately', 'hour', 'therapist', 'contact', 'time', 'universally', 'available', 'mbct', 'self', 'help', 'may', 'widen', 'access', 'little', 'know', 'effectiveness', 'paper', 'present', 'trial', 'student', 'student', 'randomly_assigne', 'week', 'condition', 'control', 'show', 'significant', 'group', 'time', 'interaction', 'favour', 'measure', 'depression', 'self', 'group', 'range', 'cohen', 'engagement', 'high', 'participant', 'engage', 'mindfulness', 'practice', 'time', 'week', 'read', 'least', 'half', 'intervention', 'book', 'participant', 'drop', 'first', 'publish', 'benefit', 'find', 'relative', 'control', 'group', 'potential', 'low', 'cost', 'readily', 'available', 'highly', 'acceptable', 'intervention', 'future', 'research', 'include', 'active', 'control', 'condition', 'explore', 'finding', 'extend', 'clinical', 'population']"
8,8,23.0,0.5486999750137329,"treatment, change, outcome, therapy, cbt, intervention, depression, cognitive, group, symptom","['randomised_controlle', 'trial', 'face', 'face', 'pure', 'online', 'self', 'help', 'cognitive_behavioural', 'treatment', 'perfectionism', 'previous', 'research', 'show', 'cognitive_behavioural', 'treatment', 'cbt', 'effective', 'reduce', 'perfectionism', 'present', 'study', 'investigate', 'efficacy', 'format', 'cbt', 'perfectionism', 'cbt', 'face', 'face', 'pure', 'online', 'self', 'help', 'reduce', 'perfectionism', 'associate', 'psychological', 'symptom', 'participant', 'randomly_allocate', 'face', 'face', 'cbt', 'pure', 'online', 'self', 'help', 'cbt', 'control', 'period', 'significant', 'change', 'waitlist', 'group', 'outcome', 'measure', 'end', 'treatment', 'face', 'face', 'pure', 'online', 'self', 'help', 'group', 'report', 'significant', 'reduction', 'end', 'treatment', 'perfectionism', 'variable', 'maintain', 'month_follow', 'face', 'face', 'group', 'also', 'report', 'significant', 'reduction', 'time', 'depression', 'anxiety', 'stress', 'significant', 'pre', 'post', 'increase', 'self', 'esteem', 'maintain', 'contrast', 'pure', 'online', 'self', 'help', 'group', 'show', 'significant', 'change', 'outcome', 'face', 'face', 'group', 'statistically', 'superior', 'pure', 'online', 'self', 'help', 'group', 'follow', 'perfectionism', 'measure', 'concern', 'mistake', 'personal', 'standard', 'result', 'show', 'promising', 'evidence', 'cbt', 'perfectionism', 'especially', 'offer', 'face', 'face', 'sustain', 'benefit', 'broad', 'range', 'outcome', 'expect']"
9,9,19.0,0.4851999878883362,"increase, neural, effect, response, decrease, determine, induce, temporal, brain, rat","['impact', 'cognitive', 'behavioral', 'therapy', 'anxiety', 'disorder', 'neural', 'base', 'emotional', 'reactivity', 'regulation', 'social', 'evaluation', 'examine', 'cognitive', 'behavioral', 'therapy', 'cbt', 'disorder', 'sad', 'would', 'modify', 'self', 'report', 'negative', 'emotion', 'functional_magnetic', 'resonance_image', 'brain', 'response', 'react', 'reappraise', 'social', 'evaluation', 'test', 'change', 'would', 'predict', 'treatment', 'outcome', 'patient', 'sad', 'complete', 'cbt', 'waitlist', 'group', 'reactivity', 'compare', 'result', 'increase', 'brain', 'response', 'right', 'superior', 'frontal', 'middle', 'occipital', 'react', 'social', 'praise', 'increase', 'right', 'decrease', 'leave', 'posterior', 'superior', 'temporal', 'pstg', 'react', 'social', 'compare', 'result', 'great', 'reduction', 'self', 'report', 'negative', 'emotion', 'increase', 'brain', 'response', 'right', 'decrease', 'left', 'linear', 'regression', 'find', 'control', 'cbt', 'induce', 'change', 'reactivity', 'reappraisal', 'negative', 'emotion', 'rating', 'brain', 'change', 'reactivity', 'praise', 'criticism', 'response', 'change', 'predict', 'related', 'reduction', 'social', 'anxiety', 'thus', 'mechanism', 'underlie', 'cbt', 'sad', 'may', 'change', 'reappraisal', 'relate', 'brain', 'response', 'social', 'criticism']"
