,corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
0,Academic,2013,Medium,2014,"['disorder', 'symptom', 'therapy', 'treatment', 'therapist', 'patient', 'trigger', 'treat', 'medical', 'common']",0,"['cbt', 'therapy', 'cognitive', 'outcome', 'follow', 'patient', 'trial', 'effect', 'group', 'week']",0.7231237292289734,12
1,Academic,2013,Medium,2014,"['pain', 'suffer', 'sadness', 'hospital', 'sad', 'depressed', 'depress', 'hide', 'suicide', 'suffering']",1,"['health', 'depressive', 'depression', 'care', 'individual', 'primary', 'psychological', 'increase', 'performance', 'base']",0.6366981863975525,7
2,Academic,2013,Medium,2014,"['speak', 'music', 'sound', 'voice', 'wear', 'eye', 'car', 'air', 'foot', 'color']",2,"['child', 'parent', 'clinic', 'behavior', 'word', 'eat', 'report', 'behavioral', 'change', 'emotional']",0.4755111634731293,4
3,Academic,2013,Medium,2014,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",3,"['social', 'negative', 'relationship', 'activation', 'individual', 'show', 'positive', 'factor', 'emotional', 'examine']",0.7504162788391113,5
4,Academic,2013,Medium,2014,"['panic_attack', 'attack', 'doctor', 'test', 'medication', 'panic', 'drug', 'medicine', 'psychiatrist', 'disease']",4,"['phobia', 'life_event', 'depression', 'emerge', 'antidepressant', 'duration', 'development', 'early', 'drive', 'use']",0.6931539177894592,8
5,Academic,2013,Medium,2014,"['relationship', 'choose', 'action', 'challenge', 'goal', 'choice', 'power', 'build', 'overcome', 'decision']",5,"['social', 'negative', 'relationship', 'activation', 'individual', 'show', 'positive', 'factor', 'emotional', 'examine']",0.652924656867981,5
6,Academic,2013,Medium,2014,"['hurt', 'reality', 'soul', 'future', 'truth', 'afraid', 'present', 'accept', 'true', 'answer']",6,"['phobia', 'life_event', 'depression', 'emerge', 'antidepressant', 'duration', 'development', 'early', 'drive', 'use']",0.5785192251205444,8
7,Academic,2013,Medium,2014,"['bed', 'dream', 'wake', 'eat', 'cry', 'light', 'morning', 'eye', 'finally', 'house']",7,"['phobia', 'life_event', 'depression', 'emerge', 'antidepressant', 'duration', 'development', 'early', 'drive', 'use']",0.6448596119880676,8
8,Academic,2013,Medium,2014,"['response', 'human', 'system', 'emotional', 'safe', 'death', 'normal', 'fight', 'crisis', 'news']",8,"['stress', 'depression', 'participant', 'control', 'self', 'program', 'function', 'group', 'response', 'risk']",0.6693130731582642,15
9,Academic,2013,Medium,2014,"['breath', 'breathe', 'breathing', 'anger', 'yoga', 'notice', 'chest', 'technique', 'exhale', 'muscle']",9,"['phobia', 'life_event', 'depression', 'emerge', 'antidepressant', 'duration', 'development', 'early', 'drive', 'use']",0.6026773452758789,8
10,Academic,2013,Medium,2014,"['man', 'exam', 'study', 'professor', 'desire', 'interview', 'animal', 'track', 'law', 'destroy']",10,"['broad', 'content', 'training', 'barrier', 'child', 'clinical', 'follow', 'outcome', 'intervention', 'demonstrate']",0.5866369009017944,17
11,Academic,2013,Medium,2014,"['book', 'story', 'watch', 'post', 'social_media', 'play', 'god', 'game', 'article', 'bit']",11,"['broad', 'content', 'training', 'barrier', 'child', 'clinical', 'follow', 'outcome', 'intervention', 'demonstrate']",0.581005334854126,17
12,Academic,2013,Medium,2014,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",12,"['psychosis', 'maternal', 'vulnerability', 'characterize', 'mother', 'trajectory', 'affective', 'sample', 'together', 'schizophrenia']",0.7015482187271118,1
13,Academic,2013,Medium,2014,"['social', 'support', 'group', 'uncertainty', 'individual', 'resource', 'society', 'result', 'seek', 'country']",13,"['stress', 'depression', 'participant', 'control', 'self', 'program', 'function', 'group', 'response', 'risk']",0.6346210837364197,15
14,Academic,2013,Medium,2014,"['plan', 'manage', 'set', 'list', 'task', 'avoid', 'morning', 'tip', 'routine', 'business']",14,"['stress', 'depression', 'participant', 'control', 'self', 'program', 'function', 'group', 'response', 'risk']",0.6442301273345947,15
15,Academic,2013,Medium,2014,"['meditation', 'com', 'https', 'mindfulness', 'meditate', 'originally_publishe', 'present', 'org', 'mindful', 'tool']",15,"['health', 'depressive', 'depression', 'care', 'individual', 'primary', 'psychological', 'increase', 'performance', 'base']",0.6787796020507812,7
16,Academic,2013,Medium,2014,"['child', 'parent', 'kid', 'student', 'school', 'young', 'college', 'class', 'teacher', 'mom']",16,"['child', 'parent', 'clinic', 'behavior', 'word', 'eat', 'report', 'behavioral', 'change', 'emotional']",0.7311272621154785,4
17,Academic,2013,Medium,2014,"['exercise', 'reduce', 'study', 'effect', 'increase', 'food', 'improve', 'activity', 'eat', 'benefit']",17,"['health', 'depressive', 'depression', 'care', 'individual', 'primary', 'psychological', 'increase', 'performance', 'base']",0.6319129467010498,7
