,corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
0,Academic,2014,Medium,2014,"['disorder', 'symptom', 'therapy', 'treatment', 'therapist', 'patient', 'trigger', 'treat', 'medical', 'common']",0,"['symptom', 'health', 'mental', 'depressive', 'mdd', 'gad', 'intervention', 'examine', 'common', 'concern']",0.7307144403457642,10
1,Academic,2014,Medium,2014,"['pain', 'suffer', 'sadness', 'hospital', 'sad', 'depressed', 'depress', 'hide', 'suicide', 'suffering']",1,"['patient', 'depressive', 'confound', 'background', 'change', 'impairment', 'international', 'major', 'brain', 'latent']",0.6320772767066956,16
2,Academic,2014,Medium,2014,"['speak', 'music', 'sound', 'voice', 'wear', 'eye', 'car', 'air', 'foot', 'color']",2,"['sad', 'social', 'psychopathology', 'symptom', 'individual', 'avoidance', 'relationship', 'behavior', 'panic', 'specific']",0.42843252420425415,11
3,Academic,2014,Medium,2014,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",3,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",0.7105395197868347,3
4,Academic,2014,Medium,2014,"['panic_attack', 'attack', 'doctor', 'test', 'medication', 'panic', 'drug', 'medicine', 'psychiatrist', 'disease']",4,"['sad', 'social', 'psychopathology', 'symptom', 'individual', 'avoidance', 'relationship', 'behavior', 'panic', 'specific']",0.6227998733520508,11
5,Academic,2014,Medium,2014,"['relationship', 'choose', 'action', 'challenge', 'goal', 'choice', 'power', 'build', 'overcome', 'decision']",5,"['stress', 'acceptance', 'act', 'trials_rct', 'equally', 'commitment', 'effect_size', 'review', 'methodological', 'comparison']",0.623471736907959,8
6,Academic,2014,Medium,2014,"['hurt', 'reality', 'soul', 'future', 'truth', 'afraid', 'present', 'accept', 'true', 'answer']",6,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",0.6312576532363892,3
7,Academic,2014,Medium,2014,"['bed', 'dream', 'wake', 'eat', 'cry', 'light', 'morning', 'eye', 'finally', 'house']",7,"['social', 'fear', 'exposure', 'ptsd', 'condition', 'sleep', 'response', 'relate', 'extinction', 'individual']",0.6650201082229614,17
8,Academic,2014,Medium,2014,"['response', 'human', 'system', 'emotional', 'safe', 'death', 'normal', 'fight', 'crisis', 'news']",8,"['social', 'fear', 'exposure', 'ptsd', 'condition', 'sleep', 'response', 'relate', 'extinction', 'individual']",0.626369833946228,17
9,Academic,2014,Medium,2014,"['breath', 'breathe', 'breathing', 'anger', 'yoga', 'notice', 'chest', 'technique', 'exhale', 'muscle']",9,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",0.6223815083503723,3
10,Academic,2014,Medium,2014,"['man', 'exam', 'study', 'professor', 'desire', 'interview', 'animal', 'track', 'law', 'destroy']",10,"['social', 'fear', 'exposure', 'ptsd', 'condition', 'sleep', 'response', 'relate', 'extinction', 'individual']",0.5204975008964539,17
11,Academic,2014,Medium,2014,"['book', 'story', 'watch', 'post', 'social_media', 'play', 'god', 'game', 'article', 'bit']",11,"['group', 'post', 'participant', 'depression', 'icbt', 'internet', 'effectiveness', 'effective', 'compare', 'base']",0.5482155084609985,15
12,Academic,2014,Medium,2014,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",12,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",0.7294679880142212,3
13,Academic,2014,Medium,2014,"['social', 'support', 'group', 'uncertainty', 'individual', 'resource', 'society', 'result', 'seek', 'country']",13,"['group', 'post', 'participant', 'depression', 'icbt', 'internet', 'effectiveness', 'effective', 'compare', 'base']",0.7222445011138916,15
14,Academic,2014,Medium,2014,"['plan', 'manage', 'set', 'list', 'task', 'avoid', 'morning', 'tip', 'routine', 'business']",14,"['onset', 'age', 'early', 'symptom', 'patient', 'year', 'adhd', 'increase', 'associate', 'high']",0.6076449155807495,2
15,Academic,2014,Medium,2014,"['meditation', 'com', 'https', 'mindfulness', 'meditate', 'originally_publishe', 'present', 'org', 'mindful', 'tool']",15,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",0.6855218410491943,3
16,Academic,2014,Medium,2014,"['child', 'parent', 'kid', 'student', 'school', 'young', 'college', 'class', 'teacher', 'mom']",16,"['child', 'adolescent', 'parent', 'internalize', 'anxious', 'report', 'non', 'year', 'outcome', 'youth']",0.7471064925193787,0
17,Academic,2014,Medium,2014,"['exercise', 'reduce', 'study', 'effect', 'increase', 'food', 'improve', 'activity', 'eat', 'benefit']",17,"['subthreshold', 'function', 'exposure', 'gad', 'associate', 'syndrome', 'form', 'clinical', 'course', 'development']",0.5751630067825317,14
