,0
"As Phones Do More, They Become Targets of Mischief","Mobile phones are becoming ever more like personal computers. That means they are also becoming more vulnerable to traditional computer menaces like hackers and viruses.   This year, the Russian antivirus company Kaspersky Lab reported on a new malicious program that stole money by taking over Nokia phones and making small charges to the owners' wireless accounts.   Last month, an Australian student created an experimental worm that hopscotched across ''jailbroken'' iPhones, which are phones altered to run software Apple has not authorized. The mischievous worm did not cause any damage; it just installed a photo of the '80s pop star Rick Astley. But to security experts, it suggested that pernicious attacks on iPhones are possible.    Where there are perceived security threats, there are always entrepreneurs and investors looking to capitalize on them -- and build profitable businesses. This month Khosla Ventures, a prominent Silicon Valley venture capital firm, led an investment group that injected $5.5 million into a fledgling security start-up called Lookout.    Lookout, based in San Francisco, was previously a consulting firm called Flexilis run by recent graduates of the University of Southern California. Now it wants to be the security giant of the mobile world, similar to the role Symantec plays in the PC market.   This year, Lookout began testing security software for phones running the Windows Mobile and Android operating systems, and it will soon introduce security applications for the BlackBerry and iPhone. The software protects phones against rogue programs and gives phone owners the ability to remotely back up and erase the data on their phones. It also lets them track the location of their handset on the Web.   A basic version of the software is free, while the company plans to charge a monthly subscription for a version with more features.   ''It feels a lot like it did in 1999 in desktop security,'' said John Hering, Lookout's 26-year-old chief executive, who for years has done research demonstrating security vulnerabilities in phones. ''People are using the mobile Web and downloading applications more than ever before, and there are threats that come with that.''   Lookout represents the latest attempt to build a new business that capitalizes on  the surge of smartphones. Thousands of companies making mobile games, shopping tools and other programs have sprung up in the last two years as the iPhone in particular has taken off. Lookout and its investors believe this is the right time to get into the market.   ''The rules of mobile are different,'' said Vinod Khosla, founder of Khosla Ventures, which also recently invested in Square, a mobile payments start-up. ''This is people's most personal computer, and it needs to be protected.''   Companies like Research In Motion, maker of the BlackBerry, and Good Technology, a Silicon Valley-based mobile messaging firm, already offer mobile security tools, but their systems are aimed at businesses. Security firms like Symantec also have mobile security divisions, and a five-year-old company, Trust Digital, based in McLean, Va., has set its sights on this market.    Lookout says it can address the unique challenges of protecting cellphones, like preserving battery life. While the company will not give details, it says it has figured out how to get its software to work on the iPhone, which does not allow non-Apple programs to operate in the background, as security software typically does.   Mr. Hering and his co-founder, Kevin Mahaffey, 25, have been publicly demonstrating the weaknesses of mobile phones for some time. In 2005, they camped outside the Academy Awards ceremony in Hollywood and scanned the phones of stars walking the red carpet, using a short-range Bluetooth wireless connection. They found that as many as 100 of the phones were vulnerable to hacking over such a connection.   That year, at the Black Hat security conference in Las Vegas, they hacked into a phone over a mile away using Bluetooth.    Lookout's founders and backers concede that for now, snoops and bad guys pose much less of a threat to cellphones than to PCs. But they believe there is an immediate need for software that preserves and protects a phone's data, from e-mail to corporate information, and they say current systems do not work when a family or business has multiple types of cellphones on various wireless networks.    For instance, a small business could install the Lookout software on many different types of devices, back up all the data and remotely erase a phone if, say, an employee leaves it in a cab.   Jeff Moss, a security expert and organizer of the Black Hat conference, said mobile security had historically ''been a solution in search of a problem.'' But he said mobile viruses had recently become more common in Asia. His own Nokia N97 phone even caught a bug recently, though software he was running from F-Secure, a Finnish security company, caught it in time.   ''The tipping point will be when we're using the phone to shop and conduct banking,'' Mr. Moss said. ''The more you do with the phone, the more valuable a target it becomes.'' "
"New Technology to Make Digital Data Disappear, on Purpose","A group of computer scientists at the University of Washington has developed a way to make electronic messages ''self destruct'' after a certain period of time, like messages in sand lost to the surf. The researchers said they think the new software, called Vanish, which requires encrypting messages, will be needed more and more as personal and business information is stored not on personal computers, but on centralized machines, or servers. In the term of the moment this is called cloud computing, and the cloud consists of the data -- including e-mail and Web-based documents and calendars -- stored on numerous servers.    The idea of developing technology to make digital data disappear after a specified period of time is not new. A number of services that perform this function exist on the World Wide Web, and some electronic devices like FLASH memory chips have added this capability for protecting stored data by automatically erasing it after a specified period of time.    But the researchers said they had struck upon a unique approach that relies on ''shattering'' an encryption key that is held by neither party in an e-mail exchange but is widely scattered across a peer-to-peer file sharing system.    Public key cryptography makes it possible for two parties who have never physically met to share a digital secret and as a result engage in a secure electronic conversation sheltered from potential eavesdroppers. The technology is at the heart of most modern electronic commerce systems.   Vanish uses a key-based encryption system in a different way, making it possible for a decrypted message to be automatically re-encrypted at a specified point in the future without fear that a third party will be able to gain access to the key needed to read the message.   The pieces of the key, small numbers, tend to ''erode'' over time as they gradually fall out of use. To make keys erode, or timeout, Vanish takes advantage of the structure of a peer-to-peer file system. Such networks are based on millions of personal computers whose Internet addresses change as they come and go from the network. This would make it exceedingly difficult for an eavesdropper or spy to reassemble the pieces of the key because the key is never held in a single location. The Vanish technology is applicable to more than just e-mail or other electronic messages. Tadayoshi Kohno, a University of Washington assistant professor who is one of  Vanish's designers, said Vanish makes it possible to control the ''lifetime'' of any type of data stored in the cloud, including information on Facebook, Google documents or blogs.    The potential value of such technology was brought into stark relief last week when a computer hacker stole data belonging to the social media company Twitter and e-mailed it to Web publishing companies in the United States and France.    The significance of the advance is that the Vanish ''trust model'' does not depend on the integrity of third parties, as other systems do. The researchers cite an incident in which a commercial provider of encrypted e-mail services revealed the contents of digital communication when served with a subpoena by a Canadian law enforcement agency.    The researchers acknowledged that there are unexplored legal issues surrounding the use of their technology. For example, certain laws require that corporations archive e-mails and make them accessible.   The researchers have developed a prototype of the Vanish system based on a plug-in module for the Mozilla Firefox Web browser. Using the system requires that both parties of the communication have a copy of the module, which is one of the limits of the technology. Mr. Kohno said that he did not envision Vanish being used for all communications, but only for sensitive ones. "
"Defend America, One Laptop at a Time","Jack Goldsmith, a professor at Harvard Law School who was an assistant attorney general from 2003 to 2004, is writing a book on cyberwar.   OUR economy, energy supply, means of transportation and military defenses are dependent on vast, interconnected computer and telecommunications networks. These networks are poorly defended and  vulnerable to theft, disruption or destruction by foreign states, criminal organizations, individual hackers and, potentially, terrorists. In the last few months it has been reported that Chinese network operations have found their way into American electricity grids, and computer spies have broken into the Pentagon's Joint Strike Fighter project.   Acknowledging such threats, President Obama recently declared that digital infrastructure is a ''strategic national asset,'' the protection of which is a national security priority.    One of many  hurdles to meeting this goal is that the private sector owns and controls most of the networks the government must protect. In addition to banks, energy suppliers and telecommunication companies, military and intelligence agencies use these private networks. This is a dangerous state of affairs, because the firms that build and run computer and communications networks focus on increasing  profits, not protecting national security. They invest in levels of safety that satisfy their own  purposes, and tend not to worry when they contribute to insecure networks that jeopardize national security.    This is a classic market failure that only government leadership can correct. The tricky task is for the government to fix the problem in ways that do not stifle innovation or unduly hamper civil liberties.   Our digital security problems start with ordinary computer users who do not take security seriously. Their computers can be infiltrated and used as vehicles for attacks on military or corporate systems. They are also often the first place that adversaries go to steal credentials or identify targets as a prelude to larger attacks.    President Obama has recognized the need to educate the public about computer security. The government should jump-start this education by mandating minimum computer security standards and by requiring Internet service providers to deny or delay Internet access to computers that fall below these standards, or that are sending spam or suspicious multiple computer probes into the network.   The government should also use legal liability or tax breaks to motivate  manufacturers -- especially makers of operating systems -- to improve vulnerability-filled software that infects the entire network. It should mandate disclosure of data theft and other digital attacks  --  to trusted private parties, if not to the public or the government --  so that firms can share information about common weapons and best defenses, and so the public can better assess which firms' computer systems are secure. Increased information production and sharing will also help create insurance markets that can elevate best security practices.     But the private sector  cannot protect these networks by itself any more than it can protect the land, air or water channels through which foreign adversaries or criminal organizations might attack us. The government must be prepared to monitor and, if necessary, intervene to secure  channels of cyberattack as well.    The Obama administration recently announced that it would set up a Pentagon cybercommand to defend military networks. Some in the administration want to use Cybercom to help the Department of Homeland Security protect the domestic components of private networks that are under attack or being used for attacks. Along similar lines, a Senate bill introduced in April would give the executive branch broad emergency authority to limit or halt private  Internet traffic related to ''critical infrastructure information systems.''    President Obama has tried to soothe civil liberties groups' understandable worries  about these proposals. In the speech that outlined the national security implications of our weak digital defenses, the president said the government would not monitor private sector networks or Internet traffic, and pledged to ''preserve and protect the personal privacy and civil liberties we cherish as Americans.''    But the president is less than candid about the tradeoffs the nation faces. The government must be given wider latitude than in the past to monitor private networks and respond to the most serious computer threats.    These new powers should be strictly defined and regularly vetted to ensure legal compliance and effectiveness. Last year's amendments to the nation's secret wiretapping regime are a useful model. They expanded the president's secret wiretapping powers, but also required  quasi-independent inspectors general in the Department of Justice and the intelligence community to review effectiveness and legal compliance and report to Congress regularly.    Many will balk at this proposal because of the excesses and mistakes associated with the secret wiretapping regime in the Bush administration. These legitimate concerns can be addressed with improved systems of review.    But they should not prevent us from empowering the government to meet the cyber threats that jeopardize our national defense and economic security. If they do, then privacy could suffer much more when the government reacts to a catastrophic computer attack that it failed to prevent. "
Q&A,"Windows Security    On a Mac   Q.I recently purchased a Mac Mini and used the Boot Camp utility to partition the drive and install Windows XP. Is it necessary to install virus protection on the Windows partition?   A.Apple's Boot Camp software (snipurl.com/f360d) simplifies the process of partitioning off part of the Mac's hard drive so you can install a copy of the Windows operating system. When you start up the Mac from the Windows partition, though, it is essentially a Windows computer -- with pretty much all the Windows vulnerabilities to viruses, spyware and other malicious code floating around the Internet.   If you plan to use the Windows side of the machine online, adding an extra layer of security helps make it less vulnerable to lurking malware. And there's no shortage of security suites for Windows; you can find reviews of this year's products at sites likepcantivirusreviews.comand anti-virus-software-review.toptenreviews.com.    Comparatively tiny amounts of malware aimed at the Mac itself have been reported. But if it worries you anyway, a few security software companies like Intego and Symantec have ''combo'' bundles aimed at Boot Campers with both Mac and Windows antivirus programs.   Free utilities for both Windows and Mac OS X are also available. Avast (avast.com) and AVG (free.avg.com) are two options for the PC, as is ClamXav for the Mac (www.clamxav.com). Spybot Search & Destroy (www.safer-networking.org) and Lavasoft Ad-Aware Free (www.lavasoft.com) are two free Windows antispyware programs. Windows XP has its own firewall in the Control Panel area, but Check Point's free version of the Zone Alarm firewall is another option (www.zonealarm.com).   Mac OS X also comes with a built-in firewall -- click on the System Preferences icon on the Dock and open the Security icon to get to the Firewall tab.   Power Naps   For Your PC   Q.What is the difference between Stand By and Hibernate in Windows?   A. Both Stand By and Hibernate are power-saving modes that put the computer to ''sleep'' without fully shutting it down. But they differ in the way they store the work in progress on the computer when it's in its state of suspended animation.   Although it turns off the monitor and hard drive to conserve energy, Stand By keeps programs and files open on the desktop and in the PC's memory. The computer wakes up more quickly from Stand By mode, but a power interruption could cause it to lose any unsaved changes to open files.   Hibernate, on the other hand, needs a chunk of hard drive space to work because it saves an image of all the open programs and files to the disk before turning the computer mostly off. Because of this hard-drive activity, it takes longer to get into and out of Hibernate mode than Stand By, but your work is much safer and the computer saves more power.   TIP OF THE WEEK: You don't need an AmazonKindle 2 to have a mechanical box read documents out loud. Although its main function is to display PDF files, the free Adobe Reader software (www.adobe.com/products/reader) has a Read Aloud feature that can audibly recite the contents of many PDF files. To hear it for yourself, open a PDF file, go to the View menu and activate the feature from the Read Out Loud submenu. While copy-protected e-books may not be compatible with Read Out Loud, it is fine for works in the public domain, like books in PDF files from Project Gutenberg (gutenberg.us), academic papers and other PDF files. J. D. BIERSDORFER    Questions about computer-based technology may be sent to QandA @nytimes.com. This weekly column will address questions of general interest, but e-mail and letters cannot be answered individually. "
New Military Command for Cyberspace,"Defense Secretary Robert M. Gates on Tuesday ordered the creation of the military's first headquarters designed to coordinate Pentagon efforts in the emerging battlefield of cyberspace and computer-network security, officials said.    Pentagon officials said Mr. Gates intends to nominate Lt. Gen. Keith Alexander, currently director of the National Security Agency, for a fourth star and to take on the top job at the new organization, to be called Cybercom.   The new command's mission will be to coordinate the day-to-day operation -- and protection -- of military and Pentagon computer networks. Currently, the Defense Department operates 15,000 separate computer networks and more than seven million individual computers or information-technology devices, officials said.   The Obama administration has undertaken significant efforts to protect the nation from cyberattack and prepare for potential offensive operations against adversary computer networks. The first step was creating a position of White House director for cybersecurity issues.   But the plans raised concerns that respect for privacy, diplomatic rules and sovereignty may be harmed as the administration accelerates its efforts to detect and attack adversaries on global computer networks that disregard borders.   ''I can't reiterate enough that this is not about the militarization of cyber,'' said Bryan Whitman, a Pentagon spokesman, in discussing Mr. Gates's order on Tuesday.   ''This is an internal Department of Defense reorganization,'' Mr. Whitman said. ''It is focused only on military networks to better consolidate and streamline Department of Defense capabilities into a single command.''   The officer in charge of Cybercom would report up military channels through the Strategic Command, based in Omaha, Neb., which previously was in charge of network warfare and is the headquarters for military efforts in areas like space and nuclear deterrence.   Operating within Strategic Command, the new headquarters would be referred to as a ''sub-unified command,'' not unlike how subordinate four-star commanders in Iraq and Afghanistan report to another four-star commander at Central Command, in charge of all military operations in the Middle East. "
"IN REVERSAL, U.S. TALKS TO RUSSIA ON WEB SECURITY","The United States has begun talks with Russia and a United Nations arms control committee about strengthening Internet security and limiting military use of cyberspace.    American and Russian officials have different interpretations of the talks so far, but the mere fact that the United States is participating represents a significant policy shift after years of rejecting Russia's overtures. Officials familiar with the talks said the Obama administration realized that more nations were developing cyberweapons and that a new approach was needed to blunt an international arms race.   In the last two years, Internet-based attacks on government and corporate computer systems have multiplied to thousands a day. Hackers, usually never identified, have compromised Pentagon computers, stolen industrial secrets and temporarily jammed government and corporate Web sites. President Obama ordered a review of the nation's Internet security in February and is preparing to name an official to coordinate national policy.    Last month, a delegation led by Gen. Vladislav P. Sherstyuk, a deputy secretary of the Russian Security Council and the former leader of the Russian equivalent of the National Security Agency, met in  Washington with representatives from the National Security Council and the Departments of State, Defense and  Homeland Security. Officials familiar with these talks said the two sides made progress in bridging divisions that had long separated the countries.   Indeed, two weeks later in Geneva, the United States agreed to discuss cyberwarfare and cybersecurity with representatives of the United Nations committee on disarmament and international security. The United States had previously insisted on addressing those matters in the committee on economic issues.    The Russians have held that the increasing challenges posed by military activities to civilian computer networks can be best dealt with by an international treaty, similar to treaties that have limited the spread of nuclear, chemical and biological weapons. The United States had resisted, arguing that it was impossible to draw a line between the commercial and military uses of software and hardware.   Now there is a thaw, said people familiar with the discussions.   ''In the last months there are more signs of building better cooperation between the U.S. and Russia,'' said Veni Markovski, a Washington-based adviser to Bulgaria's Internet security chief and representative to Russia for the organization that assigns Internet domain names. ''These are signs that show the dangers of cybercrime are too big to be neglected.''   Viktor V. Sokolov, deputy director of the Institute of Information Security in Moscow, a policy research group run by General Sherstyuk, said the Russian view was that the American position on Internet security had shifted perceptibly in recent months.   ''There is movement,'' he said. Before, bilateral negotiations were limited to the relevant Russian police agency, the Bureau of Special Technical Operations, the Internet division of the Ministry of Interior, and the F.B.I.   Mr. Sokolov characterized this new round of discussions as the opening of negotiations between Russia and the United States on a possible disarmament treaty for cyberspace, something Russia has long sought but the United States has resisted.   ''The talks took place in a good atmosphere,'' he said. ''And they agreed to continue this process. There are positive movements.''   A State Department official, who was not authorized to speak about the talks and requested anonymity, disputed the Russian characterization of the American position. While the Russians have continued to focus on treaties that may restrict weapons development, the United States is hoping to use the talks to increase international cooperation in opposing Internet crime. Strengthening defenses against Internet criminals would also strengthen defenses against any military-directed cyberattacks, the United States maintains. An administration official said the United States was seeking common ground with the Russians.    The United Nations discussions are scheduled to resume in New York in January, and the two countries also plan to talk at an annual Russia-sponsored Internet security conference in Garmisch, Germany.    The American interest in reopening discussions shows that the Obama administration, even in absence of a designated Internet security chief, is breaking with the Bush administration, which declined to talk with Russia about issues related to military attacks using the Internet.    Many countries, including the United States, are developing weapons for use on computer networks that are ever more integral to the operations of everything from banks to electrical power systems to government offices. They include ''logic bombs'' that can be hidden in computers to halt them at crucial times or damage circuitry; ''botnets'' that can disable or spy on Web sites and networks; or microwave radiation devices that can burn out computer circuits miles away.   The Russians have focused on three related issues, according to American officials involved in the talks that are part of a broader thaw in American-Russian relations known as the ''reset'' that also include negotiations on a new nuclear disarmament treaty. In addition to continuing efforts to ban offensive cyberweapons, they have insisted on what they describe as an issue of sovereignty calling for a ban on ''cyberterrorism.'' American officials view the issue differently and describe this as a Russian effort to restrict ''politically destabilizing speech.'' The Russians have also rejected a portion of the Council of Europe Convention on Cybercrime that they assert violates their Constitution by permitting foreign law enforcement agencies to conduct Internet searches inside Russian borders.   In late October at a luncheon during a meeting on Security and Counter Terrorism at Moscow State University, General Sherstyuk told a group of American executives that the Russians would never sign the European Cybercrime Treaty as long as it contained the language permitting cross-border searches. "
The Government and the Web,"The Obama administration is considering new rules to make it easier for government Web sites to use ''cookies'' and other technology to track visitors. There are valid reasons for using such tools, but the government has to build in robust privacy protections.     The Clinton administration adopted a rule severely limiting tracking on federal Web sites. Tracking could be done only if officials could prove a compelling need and the agency head had personally authorized it.   Tracking technology can help improve the quality of Web sites by monitoring how many people are visiting and how they use the site, and by personalizing the experience. For example, the Parks Service could offer information based on where a user lives.   Browser makers have made it easier for users to remove cookies or even reject them wholesale. But tracking technology can still present a real privacy risk, especially for the uninitiated. If users give personal information on one government Web site, the government could track visits to its other Web sites, like one offering information on drug addiction or H.I.V./AIDS. It could do this with cookies, or by keeping track of users' IP addresses, which may be tied to specific individuals.    In recent years, the government has monitored some Americans' library use and illegally eavesdropped on telephone calls and e-mail. Privacy groups are concerned that the new rules could pave the way for third parties to collect large amounts of data through government sites -- for example, if an agency site posted a YouTube video carrying its own cookies.    The Office of Management and Budget is developing the new rules. Officials say they recognize that people must be told that their use of Web sites is being tracked -- and be given a chance to opt out. More is needed. The government should commit to displaying such notices prominently on all Web pages -- and to making it easy for users to choose not to be tracked.   It must promise that tracking data will be used only for the purpose it was collected for: if someone orders a pamphlet on living with cancer, it should not end up in a general database. Information should be purged regularly and as quickly as possible. These rules must apply to third parties that operate on government sites.   The Obama administration is working to better harness the power of the Internet to deliver government services. That is good. But it needs to be mindful that people should be able to get help and be assured that their privacy is being vigilantly protected. "
Safe and Secure Keeping Windows 7 Safe and Secure,"Internet Security For Windows 7   Q.Does Windows 7 come with a firewall and other security software installed?   A. Like earlier versions of the Windows operating system, Windows 7 includes its own firewall program to help protect against Internet intruders. Microsoft also offers free virus and spyware protection with its Microsoft Security Essentials software. Links to the program, as well as to the company's Malicious Software Removal Tool, are at microsoft.com/security.    Microsoft's free security programs offer basic protection, but software suites from third-party companies add things like spam filtering, tools to defend against phishing, wireless-network monitoring and other features, as well as a more customizable firewall. These suites provide a more comprehensive set of protection programs, but they usually cost $40 to $70 dollars. (Some new Windows 7 computers may even come with a trial version or a one-year subscription to a security suite.)     Microsoft has a list of companies selling security software that works with Windows 7 at bit.ly/ecMt. The CNet site has reviews of many security programs at reviews.cnet.com/software and PC Magazine's roundup of this year's suites at bit.ly/14gXJi.    Sound Solutions   For Camcorders   Q.Do I need to buy an external microphone to use with my camcorder?   A. If you plan to use the camcorder in all types of recording situations and want to capture high-quality audio along with your video, investing in an external microphone is a good idea.    A built-in microphone is probably just fine for sporting events or other occasions where hearing distinct voices isn't necessary. But an external microphone can make a big difference in situations where audio clarity is important -- recording an interview, for example -- or where the goal is to eliminate as much background noise as possible.    Most camcorders include a microphone jack, so check to see what type your model has; many lower-priced camcorders have a stereo jack, while those on the higher end may use an XLR connector. Microphones are now available in wired or wireless varieties.    There are many different types of external microphones. The smaller ones include the hand-held TV news reporter variety, or the discreet lavalier microphone that clips onto a shirt collar or jacket lapel.    A shotgun microphone is generally larger and picks up sound in the direction it is pointed. Shotgun mics can be attached to the top of the camcorder or clamped to a pole and held out of the video frame while recording.    Prices for external microphones vary from about $12 for an inexpensive lapel clip-on to more than $1,000 for a professional handheld model. Web sites that specialize in audio gear and camcorder accessories usually have reviews and information on many current microphones, so you can research before you buy.    TIP OF THE WEEK If you accidentally hit the Ignore All button while spellchecking a long Microsoft Word document, you can still make the program go back and proofread your work.    Just visit the program's Options or Preferences area for the Spelling and Grammar settings. For example, in Word 2007, click on the Office button in the ribbon toolbar at the top, then click on Word Options. Click on Proofing, and in the Spelling and Grammar area, click on the Recheck Document button.    In older versions of Word for Windows, the Recheck Document button is on the Spelling and Grammar tab of the Options box in the Tools menu. Mac Word users can find it by choosing Preferences from the Word menu and clicking on the Spelling and Grammar icon in the Preferences box. J. D BIERSDORFER    Personal Tech invites questions about computer-based technology to QandA@nytimes.com This column will answer questions of general interest, but letters cannot be answered individually. "
Obama Lays Out His Strategy on Cyberattacks,"President Obama declared Friday  that the country's disparate efforts to ''deter, prevent, detect and defend'' against cyberattacks would now be run out of the White House, but he also promised that he would bar the federal government from regular monitoring of ''private-sector networks'' and the Internet traffic that has become the backbone of American communications.   Mr. Obama's speech, which was accompanied by the release of a long-awaited new government strategy, was an effort to balance the United States' response to a rising security threat with concerns -- echoing back to the debates on wiretapping without warrants in the Bush years -- that the government would be regularly dipping into Internet traffic that knew no national boundaries.    One element of the strategy clearly differed from that established by the Bush administration in January 2008. Mr. Obama's approach is described in a 38-page public document being distributed to the public and to companies that are most vulnerable to cyberattack; Mr. Bush's strategy was entirely classified.   But Mr. Obama's policy review was not specific about how he would turn many of the goals into practical realities, and he said nothing about resolving the running turf wars among the Pentagon, the National Security Agency, the Homeland Security Department and other agencies over the conduct of defensive and offensive cyberoperations.    The White House approach appears to place a new ''cybersecurity coordinator'' over all of those agencies. Mr. Obama did not name the coordinator Friday, but the policy review said that whoever the president selects would be ''action officer'' inside the White House during cyberattacks, whether they were launched on the United States by hackers or governments.    In an effort to silence critics who have complained that the official will not have sufficient status to cut through the maze of competing federal agencies, Mr. Obama said the new coordinator would have ''regular access to me,'' much like the coordinator for nuclear and conventional threats.   Many computer security executives had been hoping that Mr. Obama's announcement would represent a turning point in the nation's unsuccessful effort to turn back a growing cybercrime epidemic. On Friday, several said that while the president's attention sounded promising, much would depend on whom he chose to fill the role.   James A. Lewis, a director at the Center for Strategic & International Studies, a Washington group that published a bipartisan report last year calling on the president to appoint a cyberczar, said that the White House had now narrowed the list of candidates for the position to fewer than 10, but that choosing the right person would be difficult.   ''There aren't a lot of people who have the policy and the strategy skills and the technological knowledge to carry this out,'' Mr. Lewis said. ''If you're talking about missiles and space, there are a lot of people who know policy and technology, but in cyber its such a new field we're talking about a really small gene pool.''   For the first time, Mr. Obama also spoke of his own brush with cyberattacks, in the presidential campaign. ''Between August and October, hackers gained access to e-mails and a range of campaign files, from policy position papers to travel plans,'' he said, describing events that were known, though sketchily, at the time.   ''It was,'' he said, ''a powerful reminder: in this information age, one of your greatest strengths -- in our case, our ability to communicate to a wide range of supporters through the Internet -- could also be one of your greatest vulnerabilities.''   Mr. Obama's speech delved into technology rarely discussed in the East Room of the White House. He referred to ''spyware and malware and spoofing and phishing and botnets,'' all different approaches to what he called ''weapons of mass disruption.''    Although the president did not discuss details of the expanding role for the military in offensive and pre-emptive cyberoperations, senior officials said Friday that the Pentagon planned to create a new cybercommand to organize and train for digital war, and to oversee offensive and defensive operations.   A lingering disagreement has been how to coordinate that new command with the work of the National Security Agency, home to most of the government's expertise on computer and network warfare. One plan now under discussion would put the same general in charge of both the new cybercommand and the N.S.A. Currently, the security agency's director is Lt. Gen. Keith B. Alexander, who would be expected to be the leading contender for the new, dual position.   Industry executives were generally supportive of the initiative Mr. Obama announced, but also cautious.    ''There was nothing I was disappointed in,'' said Mark Gerencser, a cybersecurity executive at Booz Allen Hamilton, a consulting firm that deals extensively in the government's cybersecurity strategy.    Mr. Hamilton noted that the United States had separated defense and offense in the cybersecurity arena, while its opponents, including Russia and China, had a more fluid strategy.   ''It's like we're playing football and our adversaries are playing soccer,'' he said. "
Privacy May Be a Victim in Cyberdefense Plan,"A plan to create a new Pentagon cybercommand is raising significant privacy and diplomatic concerns, as the Obama administration moves ahead on efforts to protect the nation from cyberattack and to prepare for possible offensive operations against adversaries' computer networks.    President Obama has said that the new cyberdefense strategy he unveiled last month will provide protections for personal privacy and civil liberties. But senior Pentagon and military officials say that Mr. Obama's assurances may be challenging to guarantee in practice, particularly in trying to monitor the thousands of daily attacks on security systems in the United States that have set off a race to develop better cyberweapons. Much of the new military command's work is expected to be carried out by the National Security Agency, whose role in intercepting the domestic end of international calls and e-mail messages after the Sept. 11, 2001, attacks, under secret orders issued by the Bush administration, has already generated intense controversy.    There is simply no way, the officials say, to effectively conduct computer operations without entering networks inside the United States, where the military is prohibited from operating, or traveling electronic paths through countries that are not themselves American targets.    The cybersecurity effort, Mr. Obama said at the White House last month, ''will not -- I repeat, will not -- include monitoring private sector networks or Internet traffic.''   But foreign adversaries often mount their attacks through computer network hubs inside the United States, and military officials and outside experts say that threat confronts the Pentagon and the administration with difficult questions.    Military officials say there may be a need to intercept and examine some e-mail messages sent from other countries to guard against computer viruses or potential terrorist action. Advocates say the process could ultimately be accepted as the digital equivalent of customs inspections, in which passengers arriving from overseas consent to have their luggage opened for security, tax and health reasons.    ''The government is in a quandary,'' said Maren Leed, a defense expert at the bipartisan Center for Strategic and International Studies who was a Pentagon special assistant on cyberoperations from 2005 to 2008.    Ms. Leed said a broad debate was needed ''about what constitutes an intrusion that violates privacy and, at the other extreme, what is an intrusion that may be acceptable in the face of an act of war.''   In a recent speech, Gen. James E. Cartwright, vice chairman of the Joint Chiefs of Staff and a chief architect of the new cyberstrategy, acknowledged that a major unresolved issue was how the military -- which would include the National Security Agency, where much of the cyberwar expertise resides -- could legally set up an early warning system.   Unlike a missile attack, which would show up on the Pentagon's screens long before reaching American territory, a cyberattack may be visible only after it has been launched in the United States.    ''How do you understand sovereignty in the cyberdomain?'' General Cartwright asked. ''It doesn't tend to pay a lot of attention to geographic boundaries.''   For example, the daily attacks on the Pentagon's own computer systems, or probes sent from Russia, China and Eastern Europe seeking chinks in the computer systems of corporations and financial institutions, are rarely seen before their effect is felt inside the United States.   Some administration officials have begun to discuss whether laws or regulations must be changed to allow law enforcement, the military or intelligence agencies greater access to networks or Internet providers when significant evidence of a national security threat was found.   Ms. Leed said that while the Defense Department and related intelligence agencies were the only organizations that had the ability to protect against such cyberattacks, ''they are not the best suited, from a civil liberties perspective, to take on that responsibility.''   Under plans being completed at the Pentagon, the new cybercommand will be run by a four-star general, much the way Gen. David H. Petraeus runs the wars in Afghanistan and Iraq from Central Command in Tampa, Fla. But the expectation is that whoever is in charge of the new command will also direct the National Security Agency, an effort to solve the turf war between the spy agency and the military over who is in charge of conducting offensive operations.    While the N.S.A.'s job is chiefly one of detection and monitoring, the agency also possesses what Michael D. McConnell, the former director of national intelligence, called ''the critical skill set'' to respond quickly to cyberattacks. Yet the Defense Department views cyberspace as its domain as well, a new battleground after land, sea, air and space.    The complications are not limited to privacy concerns. The Pentagon is increasingly worried about the diplomatic ramifications of being forced to use the computer networks of many other nations while carrying out digital missions -- the computer equivalent of the Vietnam War's spilling over the Cambodian border in the 1960s. To battle Russian hackers, for example, it might be necessary to act through the virtual cyberterritory of Britain or Germany or any country where the attack was routed.   General Cartwright said military planners were trying to write rules of engagement for scenarios in which a cyberattack was launched from a neutral country that might have no idea what was going on. But, with time of the essence, it may not be possible, the scenarios show, to ask other nations to act against an attack that is flowing through their computers in milliseconds.    ''If I pass through your country, do I have to talk to the ambassador?'' General Cartwright said. ''It is very difficult. Those are the questions that are now really starting to emerge vis-a-vis cyber.''   Frida Berrigan, a longtime peace activist who is a senior program associate at the New America Foundation's arms and security initiative, expressed concerns about whether the Obama administration would be able to balance its promise to respect privacy in cyberspace even as it appeared to be militarizing cybersecurity.   ''Obama was very deliberate in saying that the U.S. military and the U.S. government would not be looking at our e-mail and not tracking what we do online,'' Ms. Berrigan said. ''This is not to say there is not a cyberthreat out there or that cyberterrorism is not a significant concern. We should be vigilant and creative. But once again we see the Pentagon being put at the heart of it and at front lines of offering a solution.''   Ms. Berrigan said that just as the counterinsurgency wars in Iraq and Afghanistan had proved that ''there is no front line anymore, and no demilitarized zone anymore, then if the Pentagon and the military services see cyberspace as a battlefield domain, then the lines protecting privacy and our civil liberties get blurred very, very quickly.'' "
