,Title,Abstract,StoreId,documentType,year
295,Readiness to change and therapy outcomes of an innovative psychotherapy program for surgical patients: Results from a randomized controlled trial,"Background: Readiness to change is a pivotal construct for psychotherapy research and a major target of motivational interventions. Our primary objective was to examine whether pre-treatment readiness to change moderated therapy effects of Bridging Intervention in Anesthesiology (BRIA), an innovative psychotherapy approach for surgical patients. This stepped care program aims at motivating and supporting surgical patients with mental disorders to engage in psychosocial mental health care. Methods: The major steps of BRIA are two motivational interventions with different intensity. The first step of the program consists of preoperative computer-assisted psychosocial self-assessment including screening for psychological distress and automatically composed computerized brief written advice (BWA). In the second step, patients participate in postoperative psychotherapy sessions combining motivational interviewing with cognitive behavioural therapy (BRIA psychotherapy sessions). We performed regression-based moderator analyses on data from a recent randomized controlled trial published by our research group. The sample comprised 220 surgical patients with diverse comorbid mental disorders according to ICD-10. The most frequent disorders were mood, anxiety, substance use and adjustment disorders. The patients had a mean age of 43.31 years, and 60.90% were women. In a regression model adjusted for pre-treatment psychological distress, we investigated whether readiness to change moderated outcome differences between (1) the BRIA psychotherapy sessions and (2) no psychotherapy / BWA only. Results: Multiple regression analyses showed that readiness to change moderated treatment effects regarding the primary outcomes "" Participation in psychosocial mental health care options at month 6"" ( p = 0.03) and "" Having approached psychosocial mental health care options at month 6"" ( p = 0.048) but not regarding the secondary outcome "" Change of general psychological distress between baseline assessment and month 6"" ( p = 0.329). Probing the moderation effect with the Johnson-Neyman technique revealed that BRIA psychotherapy sessions were superior to BWA in patients with low to moderate readiness, but not in those with high readiness. Conclusions: Readiness to change may act as moderator of the efficacy of psychosocial therapy. Combinations of motivational interviewing and cognitive behavioural therapy may be effective particularly in patients with a variety of mental disorders and low readiness to change. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)",1989541468," Journal , Peer Reviewed Journal , Journal Article",2017
296,The influence of caregiver depression on adolescent mental health outcomes: Findings from refugee settlements in Uganda,"Background: Family-level predictors, including caregiver depression, are considered important influences on adolescent mental health. Adolescent depression and anxiety in refugee settings is known to be a significant public health concern, yet there is very limited literature from humanitarian settings focusing on the relationship between caregiver mental health and adolescent mental health. In the context of a larger study on child protection outcomes in refugee settings, researchers explored the relationship between caregiver depression and adolescent mental health in two refugee settlements, Kiryandongo and Adjumani, in Uganda. Methods: Adolescents between 13 and 17 and their caregivers participated in a household survey, which included measures of adolescent anxiety and depression, and caregiver depression. Analysis was conducted using multiple logistic regression models, and results were reported for the full sample and for each site separately. Results: In Kiryandongo, a one-unit increase in a caregiver’s depression score tripled the odds that the adolescent would have high levels of anxiety symptoms (AOR: 3.0, 95% CI: 1.4, 6.1), while in Adjumani, caregiver depression did not remain significant in the final model. Caregiver depression, gender and exposure to violence were all associated with higher symptoms of adolescent depression in both sites and the full sample, for example, a one unit increase in caregiver depression more than tripled the odds of higher levels of symptoms of adolescent depression (AOR: 3.6, 95% CI: 2.0, 6.2). Caregiver depression is a consistently significantly associated with adverse mental health outcomes for adolescents in this study. Conclusions: Adolescent well-being is significantly affected by caregiver mental health in this refugee context. Child protection interventions in humanitarian contexts do not adequately address the influence of caregivers’ mental health, and there are opportunities to integrate child protection programming with prevention and treatment of caregivers’ mental health symptoms. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)",1984308064," Journal , Peer Reviewed Journal , Journal Article",2017
297,German general practitioners’ self-reported management of patients with chronic depression,"Background: Patients with chronic depression (persisting symptoms for ≥ 2 years) are a clinically relevant group with extensive (co)morbidity, high functional impairment and associated costs in primary care. The General Practitioner (GP) is the main health professional attending to these patients. The aim of this study was to examine the GPs’ perception on managing patients with chronic depression. Methods: We performed an explorative cross-sectional study with a systematic sample of GPs in central Germany. Source of data was a written questionnaire (46 items). Descriptive analysis was carried out. Results: Two hundred twenty (out of 1000; 22%) GPs participated. 93% of the GPs distinguish between care for patients with chronic depression and acute depressive episode. 92% would recommend psychotherapeutic co-treatment to the chronically depressed patient. 52% of GPs would favour a general restraint on antidepressants (ADs) in older chronically depressed patients (≥ 75 years) whereas 40% suggest long-term pharmacotherapy. If severe physical comorbidity is present GPs would be restrictive in prescribing ADs (65%) or would urgently refer to specialist psychiatric services (40%). In case of a comorbid anxiety disorder 66% of the GPs would suggest a combined psycho- und pharmacotherapy. If a substance use disorder coexists 84% would prefer urgent referrals to specialist services. Conclusions: Participating GPs report awareness towards chronic depression in their patients. Physical and mental comorbidity seem to play an important role in GPs’ treatment decisions. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1984307516," Journal , Peer Reviewed Journal , Journal Article",2017
298,"Correlation of occupational stress with depression, anxiety, and sleep in Korean dentists: Cross-sectional study","Background: This study aimed to investigate the degree of occupational stress and the clinical mental state of dentists. In addition, we investigated the correlation of occupational stress with depression, anxiety, and sleep among dentists in Korea. Methods: A cross-sectional survey on 231 dentists was conducted using the Doctor Job Stress Scale, Center for Epidemiologic Studies Depression Scale (CES-D), State-Trait Anxiety Index (STAI), and Pittsburgh Sleep Quality Index (PSQI). Correlation of occupational stress with mental health was investigated by adjusted multiple regression analysis. Results: The scores of CES-D, STAI, and PSQI revealed a significant correlation with the Doctor Job Stress Scale ( t = 3.93, P &lt; 0.0001; t = 4.05, P &lt; 0.0001; t = 4.18, P &lt; 0.0001, respectively). In particular, patient factors and clinical responsibility/judgment factors were significantly associated with depression ( t = 2.80, P = 0.0056; t = 4.93, P &lt; 0.0001, respectively), anxiety ( t = 2.35, P = 0.0195; t = 5.11, P &lt; 0.0001, respectively), and sleep ( t = 3.78, P = 0.0002; t = 4.30, P &lt; 0.0001, respectively), whereas work factors were not associated with any mental health state. Conclusions: This study confirms that dentists as professions experience more severe mental states. For successful mental health care among dentists, stress management focusing on interpersonal relationship with patients and responsibility as an expert rather than the intensity of work should be considered. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1984307987," Journal , Peer Reviewed Journal , Journal Article",2017
299,Anxiety and depression among patients with chronic obstructive pulmonary disease and general population in rural Nepal,"Background: Anxiety and depression are usually under diagnosed among the patients with Chronic Obstructive Pulmonary Disease (COPD), which has a negative impact on patient quality of life through restriction of activities, loss of independence, and decreased social functioning. The purpose of this study was to describe the levels and characteristics of anxiety and depression in patients with COPD in Nepal as compared to the general population. Methods: A hospital-based observational comparative analytical study was conducted in the United Mission Hospital, Tansen and the Okhaldhunga Community Hospital, Okhaldhunga, Nepal from June 1st 2015 to April 15th 2016. A convenience sample of two groups of participants were recruited: patients with COPD (study group) and visitors to the facility (comparison group). Anxiety and depression were measured with the Beck Anxiety and Depression Inventory Scale. Results: A total of 198 individuals participated in the study; 93 with COPD and 105 from the general population. The mean age of the respondents was 58.24 ± 12.04 (40-82) years. The mean scores for anxiety and depression in COPD group were 23.76 ± 9.51 and 27.72 ± 9.37 respectively, while in comparison group, the mean score for anxiety was 8.01 ± 6.83 and depression was 11.60 ± 8.42. Both anxiety and depression scores were statistically significant between the groups with p value &lt; 0.001. Conclusions: Anxiety and depression were almost three times more common in COPD patients compared to the participants from the general population. Early assessment and multi-model treatment of anxiety and depression should be part of management in COPD. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1984307861," Journal , Peer Reviewed Journal , Journal Article",2017
300,"Process evaluation of the systematic medical appraisal, referral and treatment (SMART) mental health project in rural India","Background: Availability of basic mental health services is limited in rural areas of India. Health system and individual level factors such as lack of mental health professionals and infrastructure, poor awareness about mental health, stigma related to help seeking, are responsible for poor awareness and use of mental health services. We implemented a mental health services delivery model that leveraged technology and task sharing to facilitate identification and treatment of common mental disorders (CMDs) such as stress, depression, anxiety and suicide risk in rural areas of the state of Andhra Pradesh, India. The intervention was delivered by lay village health workers (Accredited Social Health Activists—ASHAs) and primary care doctors. An anti-stigma campaign was implemented prior to this activity. This paper reports the process evaluation of the intervention using mixed methods. Methods: A mixed methods pre-post evaluation assessed the intervention using quantitative service usage analytics from the server, and qualitative interviews with different stakeholders. Barriers and facilitators in implementing the intervention were identified. Results: Health service use increased significantly at post-intervention, ASHAs could followup 78.6% of those who had screened positive, and 78.6% of the 1243 Interactive Voice Response System calls made, were successful. Most respondents were aware of the intervention. They indicated that knowledge received through the intervention empowered them to approach ASHAs and share their mental health symptoms. ASHAs and doctors opined that EDSS was useful and easy to use. Medical camps organized in villages to increase access to the doctor were received positively by all. However, some aspects or facilitators of the intervention need to be improved, including network connectivity, booster training, anti-stigma campaigns, quality of mental health services provided by doctors, provision of psychotropic medications at primary health centers and frequency of health camps. Conclusion: The respondents’ views helped to understand the barriers and facilitators for improving the likely effectiveness of the intervention using Andersen’s Modified Behavioral Model of Health Services Use, and identify the mechanisms by which those factors affected mental health services uptake in the community. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1981170620," Journal , Peer Reviewed Journal , Journal Article",2017
301,Identifying levels of general distress in first line mental health services: Can GP- and eHealth clients’ scores be meaningfully compared?,"Background: The Four-Dimensional Symptom Questionnaire (4DSQ) (Huisarts Wetenschap 39: 538–47, 1996) is a self-report questionnaire developed in the Netherlands to distinguish non-specific general distress from depression, anxiety, and somatization. This questionnaire is often used in different populations and settings and there is a paper-and-pencil and computerized version. Methods: We used item response theory to investigate whether the 4DSQ measures the same construct (structural equivalence) in the same way (scalar equivalence) in two samples comprised of primary mental health care attendees: (i) clients who visited their General Practitioner responded to the 4DSQ paper-and-pencil version, and (ii) eHealth clients responded to the 4DSQ computerized version. Specifically, we investigated whether the distress items functioned differently in eHealth clients compared to General Practitioners’ clients and whether these differences lead to substantial differences at scale level. Results: Results showed that in general structural equivalence holds for the distress scale. This means that the distress scale measures the same construct in both General Practitioners’ clients and eHealth clients. Furthermore, although eHealth clients have higher observed distress scores than General Practitioners’ clients, application of a multiple group generalized partial credit response model suggests that scalar equivalence holds. Conclusions: The same cutoff scores can be used for classifying respondents as having low, moderate and high levels of distress in both settings. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1979171246," Journal , Peer Reviewed Journal , Journal Article",2017
302,Mini - social phobia inventory (mini-SPIN): Psychometric properties and population based norms of the German version,"Background: A short screening for social anxiety disorder is useful in clinical and epidemiological contexts. However, the German version of the short form of the Social Phobia Inventory (mini-SPIN) has not been evaluated yet. Therefore, our aim was to determine reliability, validity and population based norms of the German mini-SPIN. Methods: The mini-SPIN was evaluated in a clinical ( N = 1254) and in a representative community sample ( N = 1274). Clinical diagnoses, the Patient Health Questionnaire depression (PHQ-9) and somatization modules (PHQ-15), the Generalized Anxiety Disorder Scale (GAD-7), the Liebowitz Social Anxiety Scale (LSAS), and the Short-Form-12 Health Survey (SF-12) were used in the clinical sample. In the community sample, participants filled out socio-demographic and health related questions and short versions of the PHQ (PHQ-2, GAD-2, panic item). Internal consistency, test-retest reliability, sensitivity to change, discriminant validity, and convergent validity were examined. Receiver operating characteristic curve analyses were performed to determine cut-off scores. Population based norms were computed from the community sample. Results: We found internal consistencies between 0.80 and 0.83. Test-retest correlation was Rho = 0.61; sensitivity to change was comparable to the LSAS. Correlations indicated good convergent and discriminant validity of the mini-SPIN. Strict measurement invariance can be assumed regarding age and gender. Receiver operating characteristic curve analysis suggested a cut-off of 6 or higher for a probable diagnosis of SAD. Conclusions: The German version of the mini-SPIN is a reliable and valid instrument. Its brevity makes it valuable for screening and assessing changes of social anxiety in clinical and epidemiological studies. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1975085654," Journal , Peer Reviewed Journal , Journal Article",2017
303,Operationalization of diagnostic criteria of DSM-5 somatic symptom disorders,"Background: The aim of this study was to test the operationalization of DSM-5 somatic symptom disorder (SSD) psychological criteria among Chinese general hospital outpatients. Methods: This multicenter, cross-sectional study enrolled 491 patients from 10 general hospital outpatient departments. The structured clinical “interview about cognitive, affective, and behavioral features associated with somatic complaints” was used to operationalize the SSD criteria B. For comparison, DSM-IV somatoform disorders were assessed with the Mini International Neuropsychiatric Interview plus. Cohen’s к scores were given to illustrate the agreement of the diagnoses. Results: A three-structure model of the interview, within which items were classified as respectively assessing the cognitive (B1), affective (B2), and behavioral (B3) features, was examined. According to percentages of screening-positive persons and the receiver operator characteristic (ROC) analysis, a cut-off point of 2 was recommended for each subscale of the interview. With the operationalization, the frequency of DSM-5 SSD was estimated as 36.5% in our sample, and that of DSM-IV somatoform disorders was 8.2%. The agreement between them was small (Cohen’s к = 0.152). Comparisons of sociodemographic features of SSD patients with different severity levels (mild, moderate, severe) showed that mild SSD patients were better-off in terms of financial and employment status, and that the severity subtypes were congruent with the level of depression, anxiety, quality of life impairment, and the frequency of doctor visits. Conclusions: The operationalization of the diagnosis and severity specifications of SSD was valid, but the diagnostic agreement between DSM-5 SSD and DSM-IV somatoform disorders was small. The interpretation the SSD criteria should be made cautiously, so that the diagnosis would not became over-inclusive. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)",1968547409," Journal , Peer Reviewed Journal , Journal Article",2017
304,Do some anxiety disorders belong to the prodrome of bipolar disorder? A clinical study combining retrospective and prospective methods to analyse the relationship between anxiety disorder and bipolar disorder from the perspective of biorhythms,"Background: In clinical practice, some patients diagnosed with anxiety disorder (AD) may develop bipolar disorder (BD) many years later, and some cases of AD may be cured by the use of mood stabilizers. However, the relationship between AD and BD should be explored further. Method: To track how many cases of AD turned to BD and to discover the differences between them, we recruited 48 patients diagnosed with BD, who were assigned to the BD group for the retrospective analysis, and we also recruited 186 patients diagnosed with AD at enrolment; this latter group was asked to complete follow-up surveys conducted 3 months, 6 months, 12 months and 18 months after the primary stage of the study. We defined another two groups according to the usage of mood stabilizers, the rates of reduction in scores on the Hamilton Anxiety Scale and Yale-Brown Obsessive Compulsive Scale, and the changes in Clinical Global Impression scores at different follow-up times: the anxiety group and the atypical BD group (who used mood stabilizers to treat AD). All subjects also completed the NEO Five-Factor Inventory and supplied blood samples to be tested for several endocrine indices (TSH, T3, FT3, T4, FT4, ACTH,PTC) and inflammatory cytokines (IL-6, IL-8, IL-10, TNF-α, CRP) at enrolment. Results: In total, 14 subjects developed BD by the end of the study. One hundred eleven subjects were included in the anxiety group. Sixty-three subjects were assigned to the atypical BD group, and they had similar features to the 48 subjects in the BD group in terms of personality traits, abnormality rates of endocrine indices and levels of inflammatory cytokines. From the anxiety group to the atypical BD group and then the BD group, the age of first onset gradually decreased, while the frequency of onset and the score of suicidal ideation gradually increased. Furthermore, the atypical BD group showed markedly higher levels of TSH, IL-6, TNF-α and CRP than the other two groups. Conclusions: Some ADs with unique features might belong to the prodromal stage or the atypical presentation of BD, and recognizing these ADs early will economize many medical resources. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",1961815624," Journal , Peer Reviewed Journal , Journal Article",2017
