,Title,Abstract,StoreId,documentType,year
333,Randomised controlled trial of group cognitive behavioural therapy for comorbid anxiety and depression in older adults,"Anxiety and depression are commonly comorbid in older adults and are associated with worse physical and mental health outcomes and poorer response to psychological and pharmacological treatments. However, little research has examined the effectiveness of psychological programs to treat comorbid anxiety and depression in older adults. Sixty-two community dwelling adults aged over 60 years with comorbid anxiety and depression were randomly allocated to group cognitive behavioural therapy or a waitlist condition and were assessed immediately following and three months after treatment. After controlling for cognitive ability at pre-treatment, cognitive behaviour therapy resulted in significantly greater reductions, than waitlist, on symptoms of anxiety and depression based on a semi-structured diagnostic interview rated by clinicians unaware of treatment condition. Significant time by treatment interactions were also found for self-report measures of anxiety and depression and these gains were maintained at the three month follow up period. In contrast no significant differences were found between groups on measures of worry and well-being. In conclusion, group cognitive behavioural therapy is efficacious in reducing comorbid anxiety and depression in geriatric populations and gains maintain for at least three months. [Copyright Elsevier Ltd.]",1541986497.0, Journal Article,2013
334,"Randomized, placebo-controlled trial of cognitive-behavioral therapy alone or combined with sertraline in the treatment of pediatric obsessive-compulsive disorder","Background: To examine the efficacy of sequential sertraline and cognitive-behavioral therapy (CBT) treatment relative to CBT with pill placebo over 18 weeks in children and adolescents with obsessive-compulsive disorder (OCD). Methods: Forty-seven children and adolescents with OCD (Range = 7-17 years) were randomized to 18-weeks of treatment in one of three arms: 1) sertraline at standard dosing + CBT (RegSert + CBT); 2) sertraline titrated slowly but achieving at least 8 weeks on the maximally tolerated daily dose + CBT (SloSert + CBT); or 3) pill placebo + CBT (PBO + CBT). Assessments were conducted at screening, baseline, weeks 1-9, 13, and 17, and post-treatment. Raters and clinicians were blinded to sertraline (but not CBT) randomization status. Primary outcomes included the Children's Yale-Brown Obsessive-Compulsive Scale, and response and remission status. Secondary outcomes included the Child Obsessive Compulsive Impact Scale-Parent/Child, Children's Depression Rating Scale-Revised, Multidimensional Anxiety Scale for Children, and Clinical-Global Impressions-Severity. Results: All groups exhibited large within-group effects across outcomes. There was no group by time interaction across all outcomes suggesting that group changes over time were comparable. Conclusions: Among youth with OCD, there was no evidence that sequentially provided sertraline with CBT differed from those receiving placebo with CBT. ClinicalTrials.gov Identifier NCT00382291. [Copyright Elsevier Ltd.]",1541984147.0, Journal Article,2013
335,Mindfulness and acceptance-based group therapy versus traditional cognitive behavioral group therapy for social anxiety disorder: A randomized controlled trial,"Recent research has supported the use of mindfulness and acceptance-based interventions for Social Anxiety Disorder (SAD). Objective: The purpose of the present study was to compare mindfulness and acceptance-based group therapy (MAGT) with cognitive behavioral group therapy (CBGT) with respect to outcome. It was hypothesized that MAGT and CBGT would both be superior to a control group but not significantly different from one another. Method Individuals (N = 137, mean age = 34 years, 54% female, 62% White, 20% Asian) diagnosed with SAD were randomly assigned to MAGT (n = 53), CBGT (n = 53) or a waitlist control group (n = 31). The primary outcome was social anxiety symptom severity assessed at baseline, treatment midpoint, treatment completion, and 3-month follow-up. Secondary outcomes were cognitive reappraisal, mindfulness, acceptance, and rumination. Depression, valued living, and group cohesion were also assessed. Results: As hypothesized, MAGT and CBGT were both more effective than the control group but not significantly different from one another on social anxiety reduction and most other variables assessed. Conclusions: The present research provides additional support for the use of mindfulness and acceptance-based treatments for SAD, and future research should examine the processes by which these treatments lead to change. [Copyright Elsevier Ltd.]",1541980647.0, Journal Article,2013
336,Reducing depression in 9-10 year old children in low SES schools: A longitudinal universal randomized controlled trial,"The Aussie Optimism: Positive Thinking Skills Program (AOP-PTS) is an innovative curriculum-based mental health promotion program based on cognitive and behavioural strategies. The program is aimed at preventing depressive and anxiety symptoms and disorders in middle primary school children aged 9-10 years. Students from 22 low SES primary schools (N = 910) were randomly assigned to an intervention or a control group and assessed at baseline, post-test, 6 months and 18 months. The intervention group received the program implemented by teachers and the control group received their regular Health Education curriculum. Students completed questionnaires on depression, anxiety, and attribution style. At risk students were further assessed with the computerised Diagnostic Interview for Children and Adolescents. Parents reported on their children's externalising and internalising problems at home. Children in the intervention condition reported a significant pre-post reduction in depressive symptoms, and there was a significant pre-post reduction in parent-reported emotional difficulties which was maintained at 6 month follow-up; no changes were evident in the control group. Both groups showed significant improvements in child-reported anxiety and attribution style, and significant improvements in parent-reported pro-social behaviours. For both groups, there were no significant post-baseline changes in incidence and recovery rates for depression, anxiety, or internalising symptoms. These findings suggest that AOP-PTS has the potential to treat depressive symptomatology in the immediate term but the effects were not sustained. There is also evidence of improved emotional resilience up to 6 months following the program. Further follow-up to investigate longer term effects is needed. [Copyright Elsevier Ltd.]",1541979544.0, Journal Article,2013
337,Psychological treatment of hypnotic-dependent insomnia in a primarily older adult sample,"Objective: This study tested cognitive behavior therapy (CBT) in hypnotic-dependent, late middle-age and older adults with insomnia. Method: Seventy volunteers age 50 and older were randomized to CBT plus drug withdrawal, placebo biofeedback (PL) plus drug withdrawal, or drug withdrawal (MED) only. The CBT and PL groups received eight, 45 min weekly treatment sessions. The drug withdrawal protocol comprised slow tapering monitored with about six biweekly, 30 min sessions. Assessment including polysomnography (PSG), sleep diaries, hypnotic consumption, daytime functioning questionnaires, and drug screens collected at baseline, posttreatment, and 1-year follow-up. Results: Only the CBT group showed significant sleep diary improvement, sleep onset latency significantly decreased at posttreatment. For all sleep diary measures for all groups, including MED, sleep trended to improvement from baseline to follow-up. Most PSG sleep variables did not significantly change. There were no significant between group differences in medication reduction. Compared to baseline, the three groups decreased hypnotic use at posttreatment, down 84%, and follow-up, down 66%. There was no evidence of withdrawal side-effects. Daytime functioning, including anxiety and depression, improved by posttreatment. Rigorous methodological features, including documentation of strong treatment implementation and the presence of a credible placebo, elevated the confidence due these findings. Conclusions: Gradual drug withdrawal was associated with substantial hypnotic reduction at posttreatment and follow-up, and withdrawal side-effects were absent. When supplemented with CBT, participants accrued incremental self-reported, but not PSG, sleep benefits. [Copyright Elsevier Ltd.]",1541976284.0, Journal Article,2013
338,Attention bias modification for reducing speech anxiety,"The mechanisms mediating the anxiolytic effects of attention bias modification (ABM) remain unclear. Accordingly, we randomly assigned speech-anxious subjects to receive four sessions of one of three training conditions: ABM, inverse ABM, and control. In the ABM condition, subjects viewed pairs of photographs of models displaying facial expressions of disgust and joy on a computer screen. Probes always replaced the positive face, and subjects pushed a button to indicate the identity of the probe (E or F) as rapidly as possible. In the inverse condition, the probes always replaced the negative face, and in the control condition, the probes replaced each face type equally often. After four training sessions, all groups exhibited statistically indistinguishable, but significant, reductions on self-report, behavioral, and physiological measures of speech anxiety. Self-report and behavioral measures of attentional control improved likewise. Contrary to early studies, ABM was not superior to control procedures in producing reductions on measures of social anxiety. [Copyright Elsevier Ltd.]",1541975327.0, Journal Article,2013
339,Motivational support provided via email improves the effectiveness of internet-delivered self-help treatment for insomnia: A randomized trial,"Internet-delivered treatment is effective for insomnia, but little is known about the beneficial effects of support. The aim of the current study was to investigate the additional effects of low-intensity support to an internet-delivered treatment for insomnia. Two hundred and sixty-two participants were randomized to an internet-delivered intervention for insomnia with (n = 129) or without support (n = 133). All participants received an internet-delivered cognitive behavioral treatment for insomnia. In addition, the participants in the support condition received weekly emails. Assessments were at baseline, post-treatment, and 6-month follow-up. Both groups effectively ameliorated insomnia complaints. Adding support led to significantly higher effects on most sleep measures (d = 0.3-0.5; p < 0.05), self-reported insomnia severity (d = 0.4; p < 0.001), anxiety, and depressive symptoms (d = 0.4; p < 0.01). At the 6-month follow-up, these effects remained significant for sleep efficiency, sleep onset latency, insomnia symptoms, and depressive symptoms (d = 0.3-0.5; p < 0.05). Providing support significantly enhances the benefits of internet-delivered treatment for insomnia on several variables. It appears that motivational feedback increases the effect of the intervention and encourages more participants to complete the intervention, which in turn improves its effectiveness. [Copyright Elsevier Ltd.]",1541974605.0, Journal Article,2013
340,Attention bias modification for reducing speech anxiety,"  The mechanisms mediating the anxiolytic effects of attention bias modification (ABM) remain unclear. Accordingly, we randomly assigned speech-anxious subjects to receive four sessions of one of three training conditions: ABM, inverse ABM, and control. In the ABM condition, subjects viewed pairs of photographs of models displaying facial expressions of disgust and joy on a computer screen. Probes always replaced the positive face, and subjects pushed a button to indicate the identity of the probe (E or F) as rapidly as possible. In the inverse condition, the probes always replaced the negative face, and in the control condition, the probes replaced each face type equally often. After four training sessions, all groups exhibited statistically indistinguishable, but significant, reductions on self-report, behavioral, and physiological measures of speech anxiety. Self-report and behavioral measures of attentional control improved likewise. Contrary to early studies, ABM was not superior to control procedures in producing reductions on measures of social anxiety. [PUBLICATION ABSTRACT]",1461764572.0, Feature,2013
341,Mindfulness and acceptance-based group therapy versus traditional cognitive behavioral group therapy for social anxiety disorder: A randomized controlled trial,"  Recent research has supported the use of mindfulness and acceptance-based interventions for Social Anxiety Disorder (SAD). The purpose of the present study was to compare mindfulness and acceptance-based group therapy (MAGT) with cognitive behavioral group therapy (CBGT) with respect to outcome. It was hypothesized that MAGT and CBGT would both be superior to a control group but not significantly different from one another. Individuals (N = 137, mean age = 34 years, 54% female, 62% White, 20% Asian) diagnosed with SAD were randomly assigned to MAGT (n = 53), CBGT (n = 53) or a waitlist control group (n = 31). The primary outcome was social anxiety symptom severity assessed at baseline, treatment midpoint, treatment completion, and 3-month follow-up. Secondary outcomes were cognitive reappraisal, mindfulness, acceptance, and rumination. Depression, valued living, and group cohesion were also assessed. As hypothesized, MAGT and CBGT were both more effective than the control group but not significantly different from one another on social anxiety reduction and most other variables assessed. The present research provides additional support for the use of mindfulness and acceptance-based treatments for SAD, and future research should examine the processes by which these treatments lead to change.",1461764451.0, Feature,2013
342,"Randomized, placebo-controlled trial of cognitive-behavioral therapy alone or combined with sertraline in the treatment of pediatric obsessive-compulsive disorder","  To examine the efficacy of sequential sertraline and cognitive-behavioral therapy (CBT) treatment relative to CBT with pill placebo over 18 weeks in children and adolescents with obsessive-compulsive disorder (OCD). Forty-seven children and adolescents with OCD (Range = 7-17 years) were randomized to 18-weeks of treatment in one of three arms: 1) sertraline at standard dosing + CBT (RegSert + CBT); 2) sertraline titrated slowly but achieving at least 8 weeks on the maximally tolerated daily dose + CBT (SloSert + CBT); or 3) pill placebo + CBT (PBO + CBT). Assessments were conducted at screening, baseline, weeks 1-9, 13, and 17, and post-treatment. Raters and clinicians were blinded to sertraline (but not CBT) randomization status. Primary outcomes included the Children's Yale-Brown Obsessive-Compulsive Scale, and response and remission status. Secondary outcomes included the Child Obsessive Compulsive Impact Scale-Parent/Child, Children's Depression Rating Scale-Revised, Multidimensional Anxiety Scale for Children, and Clinical-Global Impressions-Severity. All groups exhibited large within-group effects across outcomes. There was no group by time interaction across all outcomes suggesting that group changes over time were comparable. Among youth with OCD, there was no evidence that sequentially provided sertraline with CBT differed from those receiving placebo with CBT.",1461764446.0, Feature,2013
